client_id;record_id;first_rec;sessions;length;rejects;income;trans;conversion;pc;mob;pad;organic;paid;referal;click;compare;cart
19;14308;0;2;118;0;0;0;50;0;0;0;0;1;0;0;0;0
20;2895;1;2;0;100;0;0;0;1;0;0;0;0;0;0;0;0
20;14330;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
21;8278;1;2;1851;0;0;0;100;0;0;1;0;0;0;0;0;0
21;14414;0;2;1851;0;0;0;100;0;0;0;0;1;0;0;0;0
22;4781;1;3;0;100;0;0;0;0;1;0;0;0;0;0;0;0
22;10692;0;3;0;100;0;0;0;0;0;0;0;1;0;0;0;0
23;4790;1;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0
23;14649;0;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0
24;7097;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
24;14674;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
25;7987;1;3;240;0;0;0;66,67;0;0;1;0;0;0;0;0;0
25;10747;0;3;240;0;0;0;66,67;0;0;0;0;1;0;0;0;0
25;17618;0;1;60;0;0;0;100;0;0;0;0;0;0;0;0;1
26;7176;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0
26;14824;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0
27;17011;1;1;420;0;0;0;200;0;0;0;0;0;0;0;1;0
28;4850;1;3;13;66,67;0;0;0;0;1;0;0;0;0;0;0;0
28;10808;0;3;13;66,67;0;0;0;0;0;0;0;1;0;0;0;0
29;3185;1;2;4;0;0;0;0;1;0;0;0;0;0;0;0;0
29;14973;0;2;4;0;0;0;0;0;0;0;0;1;0;0;0;0
30;1211;1;3;1;66,67;0;0;0;1;0;0;0;0;0;0;0;0
30;10820;0;3;1;66,67;0;0;0;0;0;0;0;1;0;0;0;0
31;7990;1;3;0;100;0;0;0;0;0;1;0;0;0;0;0;0
31;10823;0;3;0;100;0;0;0;0;0;0;0;1;0;0;0;0
32;3221;1;2;239;50;0;0;50;1;0;0;0;0;0;0;0;0
32;15055;0;2;239;50;0;0;50;0;0;0;0;1;0;0;0;0
33;3233;1;2;1;50;0;0;0;1;0;0;0;0;0;0;0;0
33;15086;0;2;1;50;0;0;0;0;0;0;0;1;0;0;0;0
34;3790;1;6;52;0;0;0;16,67;0;1;0;0;0;0;0;0;0
34;8978;0;6;52;0;0;0;16,67;0;0;0;0;1;0;0;0;0
35;8347;1;2;53;50;0;0;0;0;0;1;0;0;0;0;0;0
35;15358;0;2;53;50;0;0;0;0;0;0;0;1;0;0;0;0
36;4917;1;3;56;33,33;0;0;0;0;1;0;0;0;0;0;0;0
36;15387;0;2;82;50;0;0;0;0;0;0;0;1;0;0;0;0
37;16720;1;1;978;0;0;0;200;0;0;0;0;0;0;1;0;0
38;3405;1;2;405;0;0;0;100;1;0;0;0;0;0;0;0;0
38;15455;0;2;405;0;0;0;100;0;0;0;0;1;0;0;0;0
39;3537;1;2;3;50;0;0;0;1;0;0;0;0;0;0;0;0
39;15712;0;2;3;50;0;0;0;0;0;0;0;1;0;0;0;0
40;7722;1;2;2;50;0;0;0;0;1;0;0;0;0;0;0;0
41;1370;1;2;254;0;0;0;50;1;0;0;0;0;0;0;0;0
42;3954;1;4;15;0;0;0;0;0;1;0;0;0;0;0;0;0
42;9259;0;4;15;0;0;0;0;0;0;0;0;1;0;0;0;0
43;418;1;4;99;50;0;0;25;1;0;0;0;0;0;0;0;0
43;11200;0;2;197;0;0;0;50;0;0;0;0;1;0;0;0;0
43;16039;0;2;0;100;0;0;0;0;0;0;0;0;1;0;0;0
44;3808;1;5;36;20;0;0;80;0;1;0;0;0;0;0;0;0
44;9001;0;5;36;20;0;0;80;0;0;0;0;1;0;0;0;0
44;16370;0;2;70;0;0;0;200;0;0;0;0;0;0;1;0;0
44;17181;0;2;70;0;0;0;200;0;0;0;0;0;0;0;0;1
45;718;1;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0
45;9798;0;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0
46;5145;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
46;11335;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
47;4271;1;3;188;33,33;0;0;33,33;0;1;0;0;0;0;0;0;0
47;11343;0;2;278;50;0;0;50;0;0;0;0;1;0;0;0;0
48;5155;1;2;6;0;0;0;0;0;1;0;0;0;0;0;0;0
48;11354;0;2;6;0;0;0;0;0;0;0;0;1;0;0;0;0
49;1485;1;2;42;50;0;0;0;1;0;0;0;0;0;0;0;0
49;11374;0;2;42;50;0;0;0;0;0;0;0;1;0;0;0;0
50;194;1;6;54;0;0;0;0;1;0;0;0;0;0;0;0;0
50;8885;0;6;54;0;0;0;0;0;0;0;0;1;0;0;0;0
51;16288;1;1;375;0;12990;1;500;0;0;0;0;0;1;0;0;0
51;16307;0;1;375;0;12990;1;500;0;0;0;0;0;0;1;0;0
51;17089;0;1;375;0;12990;1;500;0;0;0;0;0;0;0;0;1
52;4332;1;3;14;0;0;0;0;0;1;0;0;0;0;0;0;0
52;11731;0;2;8;0;0;0;0;0;0;0;0;1;0;0;0;0
53;154;1;7;156;14,29;0;0;14,29;1;0;0;0;0;0;0;0;0
53;15901;0;6;181;16,67;0;0;16,67;0;0;0;0;0;1;0;0;0
54;1693;1;2;91;0;0;0;0;1;0;0;0;0;0;0;0;0
54;11833;0;2;91;0;0;0;0;0;0;0;0;1;0;0;0;0
55;4349;1;3;90;0;0;0;33,33;0;1;0;0;0;0;0;0;0
55;9949;0;3;90;0;0;0;33,33;0;0;0;0;1;0;0;0;0
56;5473;1;2;2;50;0;0;0;0;1;0;0;0;0;0;0;0
56;11911;0;2;2;50;0;0;0;0;0;0;0;1;0;0;0;0
57;5543;1;2;5;0;0;0;0;0;1;0;0;0;0;0;0;0
57;12033;0;2;5;0;0;0;0;0;0;0;0;1;0;0;0;0
58;158;1;7;130;0;0;0;42,86;1;0;0;0;0;0;0;0;0
